0.00	3.00
1.00	19.00
2.00	36.00
3.00	73.00
4.00	61.00
5.00	54.00
6.00	93.00
7.00	112.00
8.00	76.00
9.00	105.00
10.00	151.00
11.00	145.00
12.00	133.00
13.00	183.00
14.00	202.00
15.00	229.00
16.00	245.00
17.00	421.00
18.00	411.00
19.00	412.00
20.00	433.00
21.00	545.00
22.00	563.00
23.00	628.00
24.00	636.00
25.00	539.00
26.00	537.00
27.00	650.00
28.00	457.00
29.00	460.00
30.00	414.00
31.00	528.00
32.00	395.00
33.00	332.00
34.00	171.00
35.00	135.00
36.00	119.00
37.00	112.00
38.00	123.00
39.00	102.00
40.00	83.00
41.00	114.00
42.00	60.00
43.00	48.00
44.00	44.00
45.00	34.00
46.00	29.00
47.00	21.00
48.00	14.00
49.00	17.00
50.00	8.00
51.00	23.00
52.00	34.00
53.00	24.00
54.00	25.00
55.00	32.00
56.00	80.00
57.00	68.00
58.00	20.00
59.00	8.00
60.00	9.00
61.00	5.00
62.00	4.00
63.00	2.00
64.00	8.00
65.00	2.00
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
