0	1
1	0
2	3
3	1
4	2
5	7
6	8
7	7
8	8
9	13
10	6
11	9
12	6
13	9
14	11
15	15
16	13
17	13
18	19
19	12
20	20
21	23
22	21
23	14
24	21
25	17
26	27
27	29
28	30
29	30
30	22
31	21
32	20
33	21
34	37
35	54
36	39
37	36
38	38
39	27
40	46
41	38
42	46
43	48
44	33
45	32
46	49
47	37
48	34
49	35
50	30
51	23
52	34
53	20
54	30
55	20
56	21
57	27
58	19
59	20
60	17
61	15
62	21
63	22
64	34
65	19
66	15
67	17
68	23
69	11
70	19
71	15
72	16
73	14
74	13
75	13
76	14
77	11
78	12
79	6
80	10
81	10
82	5
83	5
84	3
85	7
86	7
87	4
88	4
89	8
90	5
91	13
92	12
93	11
94	11
95	9
96	12
97	9
98	3
99	11
100	6
101	4
102	2
103	1
104	1
